bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI69331,2025,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69331,2025,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69336,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,100 to 1k,Health,24 hours to 72 hours
BI69336,2025,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,100 to 1k,Health,24 hours to 72 hours
BI69337,2025,Qtr 2,Unknown,Unknown,Not Yet Assigned,Cyber,Phishing,100 to 1k,Health,24 hours to 72 hours
BI69355,2025,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69355,2025,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69355,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69355,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI69388,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,72 hours to 1 week
BI69388,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,72 hours to 1 week
BI69389,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI69389,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI69390,2025,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,72 hours to 1 week
BI69403,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI69403,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI69413,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69413,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69415,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,72 hours to 1 week
BI69416,2025,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,More than 1 week
BI69416,2025,Qtr 2,Children,Unknown,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,More than 1 week
BI69417,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69417,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69417,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69417,2025,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69423,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
